,phrases,labels
4293,N=1/2 super-Yang–Mills theory with adjoint matter,Process
4294,R-symmetry group,Process
4295,SU(2)R,Process
4296,harmonic superspace,Process
4297,singlet representation,Process
4298,singlet deformation,Process
4299,deformation parameter,Process
4300,gauge transformation,Process
4301,transform canonically under the deformed supersymmetry,Process
4302,deformed supersymmetry,Process
4303,gauge and supersymmetry transformations,Process
4304,single function,Process
4305,antiholomorphic scalar field,Process
4306,back reaction of conformal quantum fields near singularity,Task
4307,quantum effects,Process
4308,evolution to singularity,Task
4309,the universe may end up in de Sitter phase,Process
4310,qualitatively similar conclusions,Process
4311,example of such singularity,Task
4312,"finite-time, future (sudden or Big Rip type) singularities",Process
4313,strong energy condition,Process
4314,we found another example of it,Task
4315,singularity,Process
4316,singularity,Process
4317,quantum effects,Process
4318,scale factor blows up,Process
4319,sudden singularity,Process
4320,brane,Material
4321,braneworld,Material
4322,The search for the Higgs boson,Task
4323,Tevatron,Material
4324,Large Hadron Collider,Material
4325,(LHC),Material
4326,span all the Higgs mass regions up to 1 TeV,Process
4327,hadron colliders,Material
4328,main Higgs production mechanism,Task
4329,gluon fusion,Process
4330,put limits on the Higgs mass,Process
4331,hadron collider,Material
4332,part of the mass range favored by the LEP results,Process
4333,access part of the mass range favored by the LEP results,Task
4334,intermediate Higgs mass region,Process
4335,rare decay,Process
4336,decay channels,Process
4337,put a firm lower bound on the Higgs mass,Process
4338,mH>114 GeV,Process
4339,Higgs boson,Material
4340,Standard Model,Process
4341,SM,Process
4342,SM,Material
4343,Higgs,Material
4344,Higgs,Material
4345,114≲mH≲160 GeV,Process
4346,SLD,Material
4347,particle,Material
4348,Higgs mass,Material
4349,Higgs production mechanism,Process
4350,compare the measured cross section with the SM result,Process
4351,Higgs decay,Process
4352,QCD background,Material
4353,H→γγ,Process
4354,Higgs mass,Material
4355,calculating upper limits,Task
4356,incorporate uncertainties,Process
4357,background estimate,Process
4358,further refinement of the Conrad et al. method,Process
4359,more appropriate behavior,Process
4360,calculate an upper limit,Task
4361,probability density functions,Process
4362,background estimates,Process
4363,detector sensitivity,Task
4364,measurement,Process
4365,Gaussian-distributed,Process
4366,physical spacetime dimension,Task
4367,prediction of the theory,Process
4368,standard theories,Process
4369,Einstein–Hilbert action,Process
4370,dimensional reductions,Process
4371,Minkowski space,Material
4372,(super)symmetric state,Process
4373,select this configuration,Process
4374,compactified space,Process
4375,eleven-dimensional theory,Process
4376,low energy regime,Task
4377,four-dimensional effective theory,Process
4378,background solution,Process
4379,effective spacetime dimension,Process
4380,d>4,Process
4381,false vacuum,Process
4382,propagators for the dynamical fields,Process
4383,low energy effective theory,Process
4384,chaotic motion in nuclear systems,Task
4385,statistics of high-lying energy levels,Process
4386,Poisson distributions,Process
4387,excited levels,Process
4388,spin,Process
4389,parity,Process
4390,integrable classical dynamics,Process
4391,Wigner's statistics,Material
4392,chaotic motion,Process
4393,classical regime,Task
4394,spectral fluctuations,Process
4395,δn,Process
4396,discrete time series,Process
4397,mapping to dimensionless levels,Process
4398,unitary average level density,Process
4399,analyzing the energy fluctuations,Process
4400,discrete time series,Process
4401,nuclear power spectra,Task
4402,quantum chaotic systems,Task
4403,1f spectral behavior,Process
4404,chaos in nuclear mass errors,Process
4405,B decays,Process
4406,decay pairs,Process
4407,mesons,Material
4408,find the decay vertices,Task
4409,quark pair,Material
4410,η,Material
4411,η′,Material
4412,mesons,Material
4413,decays,Process
4414,SM,Material
4415,η,Material
4416,η′,Material
4417,vector meson,Material
4418,ϕ,Material
4419,quark state,Process
4420,B0,Material
4421,B¯0,Material
4422,decay to the final state,Process
4423,meson,Material
4424,final-state particle,Material
4425,excited neutral kaon,Material
4426,K*0,Material
4427,K¯*0,Material
4428,vector meson,Material
4429,decay to ψKsπ0,Process
4430,measurement of sin2β,Process
4431,B0,Material
4432,B¯0,Material
4433,decay,Process
4434,decays,Process
4435,decays,Process
4436,final particles,Material
4437,pairs of decays,Material
4438,SM,Material
4439,quark,Material
4440,ψKsπ0,Material
4441,supersymmetry,Process
4442,SUSY,Process
4443,super-partners,Material
4444,SUSY particles,Material
4445,Angular distributions,Process
4446,charge asymmetry,Process
4447,lepton-jet invariant mass distributions,Process
4448,primary production asymmetry,Process
4449,mSUGRA model point,Process
4450,asymmetry distributions,Process
4451,measure the spins of the new particles,Task
4452,Monte Carlo simulations,Process
4453,particles,Material
4454,particles,Material
4455,squarks,Material
4456,anti-squarks,Material
4457,sparticle decays,Process
4458,demonstrate that they are indeed the predicted super-partners,Task
4459,spin-0 slepton,Material
4460,BEBC,Material
4461,NOMAD,Material
4462,JETSET,Material
4463,NOMAD,Material
4464,observed a discrepancy,Task
4465,JETSET,Material
4466,retune some of the parameters,Process
4467,events were simulated,Process
4468,setting proposed by NOMAD,Process
4469,JETSET,Material
4470,taking an average between them,Process
4471,half a difference as a systematic error,Process
4472,resonances,Process
4473,JETSET,Material
4474,parameter settings,Process
4475,light neutral mesons,Material
4476,NOMAD,Material
4477,obtain better agreement,Task
4478,analysis,Task
4479,default setting,Process
4480,normalization,Process
4481,experimental data,Material
4482,relativistic calculation of decay constants,Task
4483,framework of full Salpeter equation,Process
4484,Salpeter equation,Process
4485,relativistic equation,Process
4486,quantum field theory,Process
4487,describing a bound state,Task
4488,relativistic system,Process
4489,solved the instantaneous Bethe–Salpeter equation,Task
4490,full Salpeter equation,Process
4491,Bethe–Salpeter equation,Process
4492,solved the full Salpeter equation,Task
4493,relativistic wave function of the bound state,Process
4494,calculate the average kinetic energy,Task
4495,obtained values,Process
4496,relativistic corrections are quite large,Process
4497,use this method,Process
4498,predict the values of decay constants,Task
4499,heavy quark,Material
4500,heavy meson,Material
4501,heavy mesons,Material
4502,wave function,Process
4503,introduce vector mesons,Task
4504,Lagrangian,Process
4505,low energy current algebra,Process
4506,non-linear chiral Lagrangian,Process
4507,hidden local symmetry,Process
4508,dynamical vector mesons,Material
4509,vector-pseudo scalar interaction,Process
4510,h,Process
4511,vector-pseudoscalar coupling,Process
4512,ih4〈Vμ(P∂μP−∂μPP)〉,Process
4513,vertices of ρ's to pseudoscalar mesons,Process
4514,(12)π+(p1)π−(p2)ρ0:h(p1−p2)μεμ,Process
4515,π+(p1)π0(p2)ρ−:h(p1−p2)μεμ,Process
4516,K+(p1)K¯0(p2)ρ−:h2(p1−p2)μεμ,Process
4517,ρ decay width,Process
4518,Γ(ρ)=h2(|pπ|)3/(6πmρ2),Process
4519,pπ,Process
4520,momentum of final state pions in the ρ rest frame,Process
4521,Kawarabayashi–Suzuki–Riazuddin–Fayyazuddin relation,Material
4522,differ by small amounts,Process
4523,strong four-point vertices involving pions are obtained,Task
4524,weak vertices are obtained,Task
4525,vector mesons,Material
4526,vector mesons,Material
4527,localized on the brane,Task
4528,warped geometry,Process
4529,Randall–Sundrum model,Material
4530,five dimensions,Task
4531,spin 0 field is localized on a brane,Process
4532,positive tension,Process
4533,localizes the graviton,Process
4534,positive tension,Process
4535,negative tension,Process
4536,positive tension,Process
4537,negative tension,Process
4538,six space–time dimensions,Process
4539,localized on the brane ,Process
4540,Standard Model,Material
4541,localization,Task
4542,positive tension,Process
4543,introduced in the bulk,Process
4544,localization mechanisms,Process
4545,brane world models,Process
4546,First-principles calculations,Process
4547,electronic structure and stability,Task
4548,W@Si12 cluster,Material
4549,O2,Material
4550,O2 molecule adsorption and reaction,Task
4551,oxidation,Task
4552,W-encapsulated Si12 hexagonal prism cage,Process
4553,O2,Material
4554,low temperatures,Process
4555,significant reaction barriers,Task
4556,0.593–1.118 eV,Task
4557,O2,Material
4558,cluster,Material
4559,cluster,Material
4560,spin forbidden reactions,Task
4561,O2,Material
4562,cluster,Material
4563,W@Si12 cluster,Material
4564,high temperature and high pressure conditions,Process
4565,O2,Material
4566,overcoming a significantly large energy barrier,Process
4567,adsorption,Process
4568,reaction,Process
4569,adsorption,Process
4570,reaction,Process
4571,Wingerʼs spin selection rule,Process
4572,nanodevices,Material
4573,length effect,Task
4574,length dependence of electronic transport properties,Task
4575,increasing the number of carbon unit cells,Process
4576,carbon unit cells,Material
4577,carbon unit cells,Material
4578,current–voltage characteristics,Process
4579,large rectifying ratio,Process
4580,electronic transport properties,Task
4581,qualitative charge transport,Task
4582,π and π⁎ subbands,Process
4583,Topological insulators,Process
4584,TIs,Process
4585,spintronics materials,Material
4586,spin–orbit interaction,Process
4587,binary chalcogenides,Material
4588,Bi2Te3,Material
4589,Sb2Te3,Material
4590,Bi2Se3,Material
4591,TIs,Process
4592,surface sensitive probes,Process
4593,angle resolved photoemission spectroscopy,Process
4594,scanning tunneling microscopy/spectroscopy,Process
4595,ternary chalcogenide,Material
4596,(BixSb1−x)2Te3,Material
4597,Bi2Te3,Material
4598,Sb2Te3,Material
4599,ab initio calculations,Process
4600,ARPES measurements,Process
4601,topological insulator,Process
4602,changing the Bi/Sb composition ratio,Process
4603,magnetism,Process
4604,superconductivity,Process
4605,TIs,Process
4606,ferromagnetism,Process
4607,transition metal,Material
4608,TM,Material
4609,TIs,Process
4610,Ferromagnetism,Process
4611,magnetism,Process
4612,TIs,Process
4613,TIs,Process
4614,Hall effect,Task
4615,Majorana fermions,Task
4616,image magnetic monopole effect,Task
4617,Faraday and Kerr magneto-optical effect,Task
4618,fundamental physical phenomena,Task
4619,light lasers,Process
4620,optical lasers,Process
4621,radio-masers,Process
